station_id,alongshore_m,latitude,longitude,elevation_50m,elevation_150m,elevation_250m,slope_pct_50_250
E01,0.0,-33.5017252,-71.6214046,22.0,29.0,29.0,3.5
E02,186.9,-33.5023252,-71.6197056,7.0,22.0,28.0,10.5
E03,373.8,-33.5037079,-71.6185667,3.0,7.0,10.0,3.5
E04,560.7,-33.5051719,-71.6175875,4.0,5.0,4.0,0.0
E05,747.5,-33.5064686,-71.6163116,0.0,4.0,7.0,3.5
E06,934.4,-33.5079861,-71.6154977,0.0,6.0,6.0,3.0
E07,1121.3,-33.5094015,-71.614419,4.0,6.0,7.0,1.5
E08,1308.2,-33.510823,-71.6133773,4.0,5.0,7.0,1.5
E09,1495.1,-33.5122266,-71.6125246,3.0,5.0,7.0,2.0
E10,1682.0,-33.5135464,-71.6114194,0.0,5.0,6.0,3.0
E11,1868.9,-33.5150018,-71.6105658,3.0,5.0,6.0,1.5
