acquired_at,position_m,position_trend_m,position_anomaly_m,official_storm_event,official_event_count,official_event_ids,nearest_official_event_days,storm_join_window_days
2016-02-04 14:42:56+00:00,-2.8996139494502526,-24.083254740882428,21.183640791432175,0,0,,285.3868518518519,3
2017-03-10 14:51:18.458000+00:00,-27.048929522871845,-27.948922824003407,0.8999933011315626,1,1,ARMADA-11MAR-2017,0.38103636574074073,3
2018-03-15 14:52:18.040000+00:00,-78.4032768296123,-31.5246204793146,-46.878656350297696,1,1,ARMADA-07-2018,0.0,3
2019-03-10 14:53:05.228000+00:00,-7.772470607417778,-35.003676451277414,27.231205843859637,0,0,,7.379800601851851,3
2020-03-09 14:52:20.314000+00:00,-6.912023720883635,-38.53104226995544,31.619018549071807,0,0,,12.380320439814815,3
2021-02-22 14:52:20.512000+00:00,-49.702190920795786,-41.91345268893132,-7.788738231864464,0,0,,16.380318148148145,3
2022-01-23 14:52:22.480000+00:00,-85.44207272417327,-45.1509028603072,-40.291169863866074,0,0,,317.6197046296296,3
2023-01-28 14:52:20.246000+00:00,-57.27202893588675,-48.726593601363064,-8.545435334523688,0,0,,418.38032122685183,3
2024-03-08 14:52:17.103000+00:00,-40.128741352560795,-52.64052528042819,12.511783927867398,0,0,,13.380357604166669,3
2025-03-03 14:52:25.581000+00:00,-78.56135096769297,-56.119576922592515,-22.44177404510046,0,0,,320.3802594791667,3
2026-02-16 14:52:45.499000+00:00,-27.001858135003943,-59.501989547293704,32.50013141228976,0,0,,3.6199710532407408,3
